order px wavelength class PCC r_m r_c med_intensity
13 1763 5060.06 w 0.065 0.00370 -0.00659 -0.0077
13 1819 5061.08 w -0.020 -0.00115 -0.00897 -0.0086
13 1820 5061.09 w 0.484 0.03043 -0.00495 -0.0140
13 1821 5061.11 w 0.466 0.03034 -0.00736 -0.0164
13 1822 5061.13 w 0.473 0.03103 -0.00331 -0.0126
13 1823 5061.15 w 0.048 0.00293 -0.00593 -0.0068
13 2085 5065.85 w 0.206 0.01403 -0.00221 -0.0064
13 2086 5065.87 w 0.249 0.01402 -0.00379 -0.0080
13 2087 5065.89 w 0.325 0.01937 -0.00486 -0.0107
13 2088 5065.91 w 0.703 0.05797 -0.00046 -0.0178
13 2089 5065.93 w 0.830 0.09696 0.00066 -0.0283
13 2090 5065.94 w 0.918 0.11716 0.00206 -0.0330
13 2091 5065.96 w 0.855 0.08964 0.00075 -0.0261
13 2092 5065.98 w 0.489 0.02977 -0.00540 -0.0143
13 2093 5066.00 w 0.199 0.01453 -0.00284 -0.0072
13 2107 5066.25 w 0.175 0.01074 -0.00091 -0.0041
13 2108 5066.27 w 0.298 0.01785 0.00073 -0.0046
13 2109 5066.28 w 0.297 0.01378 -0.00066 -0.0048
13 2110 5066.30 w 0.489 0.02762 0.00325 -0.0050
13 2111 5066.32 w 0.432 0.02808 0.00187 -0.0065
13 2112 5066.34 w 0.405 0.02614 -0.00234 -0.0102
13 2113 5066.35 w 0.538 0.03363 -0.00436 -0.0144
13 2114 5066.37 w 0.590 0.04961 -0.00266 -0.0175
13 2115 5066.39 w 0.445 0.02919 -0.00449 -0.0132
13 2116 5066.41 w 0.103 0.00646 -0.00747 -0.0094
13 2150 5067.01 w 0.016 0.00126 -0.00559 -0.0060
13 2151 5067.03 w 0.283 0.02199 0.00014 -0.0064
13 2152 5067.05 w 0.579 0.04396 0.00181 -0.0113
13 2153 5067.07 w 0.748 0.05641 -0.00335 -0.0202
13 2154 5067.09 w 0.743 0.07784 0.00152 -0.0218
13 2155 5067.10 w 0.672 0.05979 0.00399 -0.0139
13 2156 5067.12 w 0.514 0.03845 -0.00124 -0.0127
13 2157 5067.14 w 0.395 0.02542 -0.00439 -0.0120
13 2158 5067.16 w 0.606 0.04611 -0.00304 -0.0168
13 2159 5067.18 w 0.807 0.08202 -0.00469 -0.0292
13 2160 5067.19 w 0.818 0.09888 -0.00603 -0.0356
13 2161 5067.21 w 0.649 0.06270 -0.00637 -0.0251
13 2162 5067.23 w 0.531 0.04276 -0.00088 -0.0137
13 2163 5067.25 w 0.251 0.01773 -0.00303 -0.0083
13 2164 5067.26 w 0.200 0.01256 -0.00167 -0.0054
13 2266 5069.08 w 0.222 0.01677 -0.00658 -0.0116
13 2267 5069.10 w 0.484 0.03939 -0.00671 -0.0185
13 2268 5069.12 w 0.500 0.03441 -0.00637 -0.0167
